#id1,id2

# https://fbref.com/en/squads/e2d8892c/Paris-Saint-Germain-Stats

42fd9c7f,d5f2f82b

42fd9c7f,aef6e670

42fd9c7f,e42d61c7

42fd9c7f,d70ce98e

42fd9c7f,1467af0d

42fd9c7f,8fd9996f

42fd9c7f,69384e5d

42fd9c7f,ecada4fc

42fd9c7f,19cda00b

42fd9c7f,f20e4cc9

42fd9c7f,eb58eef0

42fd9c7f,72c812f3

42fd9c7f,08f5afaa

42fd9c7f,51dbeea9

42fd9c7f,436a9dd0

42fd9c7f,433dc9a2

42fd9c7f,43b78598

42fd9c7f,fc62f087

42fd9c7f,dff153a4

42fd9c7f,08511d65

42fd9c7f,1a992676

d5f2f82b,aef6e670

d5f2f82b,e42d61c7

d5f2f82b,d70ce98e

d5f2f82b,1467af0d

d5f2f82b,8fd9996f

d5f2f82b,69384e5d

d5f2f82b,ecada4fc

d5f2f82b,19cda00b

d5f2f82b,f20e4cc9

d5f2f82b,eb58eef0

d5f2f82b,72c812f3

d5f2f82b,08f5afaa

d5f2f82b,51dbeea9

d5f2f82b,436a9dd0

d5f2f82b,433dc9a2

d5f2f82b,43b78598

d5f2f82b,fc62f087

d5f2f82b,dff153a4

d5f2f82b,08511d65

d5f2f82b,1a992676

aef6e670,e42d61c7

aef6e670,d70ce98e

aef6e670,1467af0d

aef6e670,8fd9996f

aef6e670,69384e5d

aef6e670,ecada4fc

aef6e670,19cda00b

aef6e670,f20e4cc9

aef6e670,eb58eef0

aef6e670,72c812f3

aef6e670,08f5afaa

aef6e670,51dbeea9

aef6e670,436a9dd0

aef6e670,433dc9a2

aef6e670,43b78598

aef6e670,fc62f087

aef6e670,dff153a4

aef6e670,08511d65

aef6e670,1a992676

e42d61c7,d70ce98e

e42d61c7,1467af0d

e42d61c7,8fd9996f

e42d61c7,69384e5d

e42d61c7,ecada4fc

e42d61c7,19cda00b

e42d61c7,f20e4cc9

e42d61c7,eb58eef0

e42d61c7,72c812f3

e42d61c7,08f5afaa

e42d61c7,51dbeea9

e42d61c7,436a9dd0

e42d61c7,433dc9a2

e42d61c7,43b78598

e42d61c7,fc62f087

e42d61c7,dff153a4

e42d61c7,08511d65

e42d61c7,1a992676

d70ce98e,1467af0d

d70ce98e,8fd9996f

d70ce98e,69384e5d

d70ce98e,ecada4fc

d70ce98e,19cda00b

d70ce98e,f20e4cc9

d70ce98e,eb58eef0

d70ce98e,72c812f3

d70ce98e,08f5afaa

d70ce98e,51dbeea9

d70ce98e,436a9dd0

d70ce98e,433dc9a2

d70ce98e,43b78598

d70ce98e,fc62f087

d70ce98e,dff153a4

d70ce98e,08511d65

d70ce98e,1a992676

1467af0d,8fd9996f

1467af0d,69384e5d

1467af0d,ecada4fc

1467af0d,19cda00b

1467af0d,f20e4cc9

1467af0d,eb58eef0

1467af0d,72c812f3

1467af0d,08f5afaa

1467af0d,51dbeea9

1467af0d,436a9dd0

1467af0d,433dc9a2

1467af0d,43b78598

1467af0d,fc62f087

1467af0d,dff153a4

1467af0d,08511d65

1467af0d,1a992676

8fd9996f,69384e5d

8fd9996f,ecada4fc

8fd9996f,19cda00b

8fd9996f,f20e4cc9

8fd9996f,eb58eef0

8fd9996f,72c812f3

8fd9996f,08f5afaa

