#id1,id2

# https://fbref.com/en/squads/edd0d381/Dinamo-Zagreb-Stats

58f077c0,ee950928

58f077c0,46152b69

58f077c0,33a6a650

58f077c0,7e56d3db

58f077c0,29fbdc88

58f077c0,6b994195

58f077c0,24228180

58f077c0,697dc00a

58f077c0,af3ddb2e

58f077c0,73b9fa8a

58f077c0,ee926a02

58f077c0,8b929ec2

58f077c0,51ffa295

58f077c0,688fcea2

58f077c0,121101a4

58f077c0,8d7fe72a

58f077c0,eaeefc50

58f077c0,a11c995d

58f077c0,169f5976

58f077c0,d1eda5f0

ee950928,46152b69

ee950928,33a6a650

ee950928,7e56d3db

ee950928,29fbdc88

ee950928,6b994195

ee950928,24228180

ee950928,697dc00a

ee950928,af3ddb2e

ee950928,73b9fa8a

ee950928,ee926a02

ee950928,8b929ec2

ee950928,51ffa295

ee950928,688fcea2

ee950928,121101a4

ee950928,8d7fe72a

ee950928,eaeefc50

ee950928,a11c995d

ee950928,169f5976

ee950928,d1eda5f0

46152b69,33a6a650

46152b69,7e56d3db

46152b69,29fbdc88

46152b69,6b994195

46152b69,24228180

46152b69,697dc00a

46152b69,af3ddb2e

46152b69,73b9fa8a

46152b69,ee926a02

46152b69,8b929ec2

46152b69,51ffa295

46152b69,688fcea2

46152b69,121101a4

46152b69,8d7fe72a

46152b69,eaeefc50

46152b69,a11c995d

46152b69,169f5976

46152b69,d1eda5f0

33a6a650,7e56d3db

33a6a650,29fbdc88

33a6a650,6b994195

33a6a650,24228180

33a6a650,697dc00a

33a6a650,af3ddb2e

33a6a650,73b9fa8a

33a6a650,ee926a02

33a6a650,8b929ec2

33a6a650,51ffa295

33a6a650,688fcea2

33a6a650,121101a4

33a6a650,8d7fe72a

33a6a650,eaeefc50

33a6a650,a11c995d

33a6a650,169f5976

33a6a650,d1eda5f0

7e56d3db,29fbdc88

7e56d3db,6b994195

7e56d3db,24228180

7e56d3db,697dc00a

7e56d3db,af3ddb2e

7e56d3db,73b9fa8a

7e56d3db,ee926a02

7e56d3db,8b929ec2

7e56d3db,51ffa295

7e56d3db,688fcea2

7e56d3db,121101a4

7e56d3db,8d7fe72a

7e56d3db,eaeefc50

7e56d3db,a11c995d

7e56d3db,169f5976

7e56d3db,d1eda5f0

29fbdc88,6b994195

29fbdc88,24228180

29fbdc88,697dc00a

29fbdc88,af3ddb2e

29fbdc88,73b9fa8a

29fbdc88,ee926a02

29fbdc88,8b929ec2

29fbdc88,51ffa295

29fbdc88,688fcea2

29fbdc88,121101a4

29fbdc88,8d7fe72a

29fbdc88,eaeefc50

29fbdc88,a11c995d

29fbdc88,169f5976

29fbdc88,d1eda5f0

6b994195,24228180

6b994195,697dc00a

6b994195,af3ddb2e

