#id1,id2
# https://fbref.com/en/squads/b8fd03ef/Manchester-City-Stats
3bb7b8b4,bd6351cd
3bb7b8b4,6434f10d
3bb7b8b4,3eb22ec9
3bb7b8b4,119b9a8e
3bb7b8b4,31c69ef1
3bb7b8b4,e46012d4
3bb7b8b4,ed1e53f3
3bb7b8b4,b400bde0
3bb7b8b4,b0b4fd3e
3bb7b8b4,b66315ae
3bb7b8b4,819b3158
3bb7b8b4,86dd77d1
3bb7b8b4,892d5bb1
3bb7b8b4,5eecec3d
3bb7b8b4,51cf8561
3bb7b8b4,101da2b5
3bb7b8b4,eaeca114
bd6351cd,6434f10d
bd6351cd,3eb22ec9
bd6351cd,119b9a8e
bd6351cd,31c69ef1
bd6351cd,e46012d4
bd6351cd,ed1e53f3
bd6351cd,b400bde0
bd6351cd,b0b4fd3e
bd6351cd,b66315ae
bd6351cd,819b3158
bd6351cd,86dd77d1
bd6351cd,892d5bb1
bd6351cd,5eecec3d
bd6351cd,51cf8561
bd6351cd,101da2b5
bd6351cd,eaeca114
6434f10d,3eb22ec9
6434f10d,119b9a8e
6434f10d,31c69ef1
6434f10d,e46012d4
6434f10d,ed1e53f3
6434f10d,b400bde0
6434f10d,b0b4fd3e
6434f10d,b66315ae
6434f10d,819b3158
6434f10d,86dd77d1
6434f10d,892d5bb1
6434f10d,5eecec3d
6434f10d,51cf8561
6434f10d,101da2b5
6434f10d,eaeca114
3eb22ec9,119b9a8e
3eb22ec9,31c69ef1
3eb22ec9,e46012d4
3eb22ec9,ed1e53f3
3eb22ec9,b400bde0
3eb22ec9,b0b4fd3e
3eb22ec9,b66315ae
3eb22ec9,819b3158
3eb22ec9,86dd77d1
3eb22ec9,892d5bb1
3eb22ec9,5eecec3d
3eb22ec9,51cf8561
3eb22ec9,101da2b5
3eb22ec9,eaeca114
119b9a8e,31c69ef1
119b9a8e,e46012d4
119b9a8e,ed1e53f3
119b9a8e,b400bde0
119b9a8e,b0b4fd3e
119b9a8e,b66315ae
119b9a8e,819b3158
119b9a8e,86dd77d1
119b9a8e,892d5bb1
119b9a8e,5eecec3d
