#id1,id2
# https://fbref.com/en/squads/dc56fe14/Milan-Stats
fcb38f57,20730eae
fcb38f57,0db169ae
fcb38f57,7edfbb8a
fcb38f57,d4c9725f
fcb38f57,05e19d6a
fcb38f57,407feb71
fcb38f57,2146785a
fcb38f57,16ceb862
fcb38f57,ee251371
fcb38f57,85f7d1be
fcb38f57,3ead85f9
fcb38f57,db092d3b
fcb38f57,817c6964
fcb38f57,f49c4ae9
fcb38f57,e288d4b3
fcb38f57,4cde5509
fcb38f57,8b8a56ce
fcb38f57,536cebe5
fcb38f57,59bf127b
20730eae,0db169ae
20730eae,7edfbb8a
20730eae,d4c9725f
20730eae,05e19d6a
20730eae,407feb71
20730eae,2146785a
20730eae,16ceb862
20730eae,ee251371
20730eae,85f7d1be
20730eae,3ead85f9
20730eae,db092d3b
20730eae,817c6964
20730eae,f49c4ae9
20730eae,e288d4b3
20730eae,4cde5509
20730eae,8b8a56ce
20730eae,536cebe5
20730eae,59bf127b
0db169ae,7edfbb8a
0db169ae,d4c9725f
0db169ae,05e19d6a
0db169ae,407feb71
0db169ae,2146785a
0db169ae,16ceb862
0db169ae,ee251371
0db169ae,85f7d1be
0db169ae,3ead85f9
0db169ae,db092d3b
0db169ae,817c6964
0db169ae,f49c4ae9
0db169ae,e288d4b3
0db169ae,4cde5509
0db169ae,8b8a56ce
0db169ae,536cebe5
0db169ae,59bf127b
7edfbb8a,d4c9725f
7edfbb8a,05e19d6a
7edfbb8a,407feb71
7edfbb8a,2146785a
7edfbb8a,16ceb862
7edfbb8a,ee251371
7edfbb8a,85f7d1be
7edfbb8a,3ead85f9
7edfbb8a,db092d3b
7edfbb8a,817c6964
7edfbb8a,f49c4ae9
7edfbb8a,e288d4b3
7edfbb8a,4cde5509
7edfbb8a,8b8a56ce
7edfbb8a,536cebe5
7edfbb8a,59bf127b
d4c9725f,05e19d6a
d4c9725f,407feb71
d4c9725f,2146785a
d4c9725f,16ceb862
d4c9725f,ee251371
d4c9725f,85f7d1be
d4c9725f,3ead85f9
d4c9725f,db092d3b
d4c9725f,817c6964
d4c9725f,f49c4ae9
d4c9725f,e288d4b3
d4c9725f,4cde5509
d4c9725f,8b8a56ce
d4c9725f,536cebe5
d4c9725f,59bf127b
05e19d6a,407feb71
05e19d6a,2146785a
05e19d6a,16ceb862
05e19d6a,ee251371
05e19d6a,85f7d1be
05e19d6a,3ead85f9
05e19d6a,db092d3b
05e19d6a,817c6964
05e19d6a,f49c4ae9
05e19d6a,e288d4b3
05e19d6a,4cde5509
05e19d6a,8b8a56ce
05e19d6a,536cebe5
05e19d6a,59bf127b
407feb71,2146785a
407feb71,16ceb862
407feb71,ee251371
407feb71,85f7d1be
407feb71,3ead85f9
407feb71,db092d3b
407feb71,817c6964
407feb71,f49c4ae9
407feb71,e288d4b3
407feb71,4cde5509
407feb71,8b8a56ce
407feb71,536cebe5
407feb71,59bf127b
2146785a,16ceb862
2146785a,ee251371
2146785a,85f7d1be
2146785a,3ead85f9
2146785a,db092d3b
2146785a,817c6964
2146785a,f49c4ae9
2146785a,e288d4b3
2146785a,4cde5509
2146785a,8b8a56ce
2146785a,536cebe5
2146785a,59bf127b
16ceb862,ee251371
16ceb862,85f7d1be
16ceb862,3ead85f9
16ceb862,db092d3b
16ceb862,817c6964
16ceb862,f49c4ae9
16ceb862,e288d4b3
16ceb862,4cde5509
16ceb862,8b8a56ce
16ceb862,536cebe5
16ceb862,59bf127b
ee251371,85f7d1be
ee251371,3ead85f9
ee251371,db092d3b
ee251371,817c6964
ee251371,f49c4ae9
ee251371,e288d4b3
ee251371,4cde5509
ee251371,8b8a56ce
ee251371,536cebe5
ee251371,59bf127b
85f7d1be,3ead85f9
85f7d1be,db092d3b
85f7d1be,817c6964
85f7d1be,f49c4ae9
85f7d1be,e288d4b3
85f7d1be,4cde5509
85f7d1be,8b8a56ce
85f7d1be,536cebe5
85f7d1be,59bf127b
3ead85f9,db092d3b
3ead85f9,817c6964
3ead85f9,f49c4ae9
3ead85f9,e288d4b3
3ead85f9,4cde5509
3ead85f9,8b8a56ce
3ead85f9,536cebe5
3ead85f9,59bf127b
db092d3b,817c6964
db092d3b,f49c4ae9
db092d3b,e288d4b3
db092d3b,4cde5509
db092d3b,8b8a56ce
db092d3b,536cebe5
db092d3b,59bf127b
817c6964,f49c4ae9
817c6964,e288d4b3
817c6964,4cde5509
817c6964,8b8a56ce
817c6964,536cebe5
817c6964,59bf127b
f49c4ae9,e288d4b3
f49c4ae9,4cde5509
f49c4ae9,8b8a56ce
f49c4ae9,536cebe5
f49c4ae9,59bf127b
e288d4b3,4cde5509
e288d4b3,8b8a56ce
e288d4b3,536cebe5
e288d4b3,59bf127b
4cde5509,8b8a56ce
4cde5509,536cebe5
4cde5509,59bf127b
8b8a56ce,536cebe5
8b8a56ce,59bf127b
536cebe5,59bf127b
# https://fbref.com/en/squads/d609edc0/Internazionale-Stats
74419746,6928979a
74419746,30f5ffa9
74419746,33b8d077
74419746,6fe90922
74419746,cd0fa27b
74419746,75b86fb3
74419746,d0d8dd44
74419746,f7036e1c
74419746,3bb7f478
74419746,481c9ece
74419746,96e0490d
74419746,970b8574
74419746,45b9b619
74419746,44eb9093
74419746,2c0f8e9e
74419746,ce30bfc8
74419746,67cdbc0e
74419746,44ac04e9
6928979a,30f5ffa9
6928979a,33b8d077
6928979a,6fe90922
6928979a,cd0fa27b
6928979a,75b86fb3
6928979a,d0d8dd44
6928979a,f7036e1c
6928979a,3bb7f478
6928979a,481c9ece
6928979a,96e0490d
6928979a,970b8574
6928979a,45b9b619
6928979a,44eb9093
6928979a,2c0f8e9e
6928979a,ce30bfc8
6928979a,67cdbc0e
6928979a,44ac04e9
30f5ffa9,33b8d077
30f5ffa9,6fe90922
30f5ffa9,cd0fa27b
30f5ffa9,75b86fb3
30f5ffa9,d0d8dd44
