# id1,id2,weight
3bb7b8b4,bd6351cd,3
3bb7b8b4,6434f10d,3
3bb7b8b4,3eb22ec9,5
3bb7b8b4,119b9a8e,4
3bb7b8b4,31c69ef1,2
3bb7b8b4,e46012d4,5
3bb7b8b4,ed1e53f3,4
3bb7b8b4,b400bde0,5
3bb7b8b4,b0b4fd3e,1
3bb7b8b4,b66315ae,5
3bb7b8b4,819b3158,5
3bb7b8b4,86dd77d1,5
3bb7b8b4,892d5bb1,4
3bb7b8b4,5eecec3d,5
3bb7b8b4,51cf8561,4
3bb7b8b4,101da2b5,5
3bb7b8b4,eaeca114,1
bd6351cd,6434f10d,1
bd6351cd,3eb22ec9,2
bd6351cd,119b9a8e,2
bd6351cd,31c69ef1,1
bd6351cd,e46012d4,2
bd6351cd,ed1e53f3,3
bd6351cd,b400bde0,1
bd6351cd,b0b4fd3e,1
bd6351cd,b66315ae,2
bd6351cd,819b3158,2
bd6351cd,86dd77d1,2
bd6351cd,892d5bb1,2
bd6351cd,5eecec3d,3
bd6351cd,51cf8561,2
bd6351cd,101da2b5,2
bd6351cd,eaeca114,1
6434f10d,3eb22ec9,3
6434f10d,119b9a8e,3
6434f10d,31c69ef1,1
6434f10d,e46012d4,2
6434f10d,ed1e53f3,3
6434f10d,b400bde0,2
6434f10d,b0b4fd3e,1
6434f10d,b66315ae,3
6434f10d,819b3158,3
6434f10d,86dd77d1,3
6434f10d,892d5bb1,3
6434f10d,5eecec3d,3
6434f10d,51cf8561,3
6434f10d,101da2b5,3
6434f10d,eaeca114,1
3eb22ec9,119b9a8e,3
3eb22ec9,31c69ef1,1
3eb22ec9,e46012d4,3
3eb22ec9,ed1e53f3,4
3eb22ec9,b400bde0,2
3eb22ec9,b0b4fd3e,1
3eb22ec9,b66315ae,4
3eb22ec9,819b3158,5
3eb22ec9,86dd77d1,3
3eb22ec9,892d5bb1,4
3eb22ec9,5eecec3d,4
3eb22ec9,51cf8561,4
3eb22ec9,101da2b5,3
3eb22ec9,eaeca114,1
119b9a8e,31c69ef1,1
119b9a8e,e46012d4,2
119b9a8e,ed1e53f3,3
119b9a8e,b400bde0,2
119b9a8e,b0b4fd3e,1
119b9a8e,b66315ae,2
119b9a8e,819b3158,2
119b9a8e,86dd77d1,2
119b9a8e,892d5bb1,2
119b9a8e,5eecec3d,3
119b9a8e,51cf8561,3
119b9a8e,101da2b5,3
119b9a8e,eaeca114,1
31c69ef1,e46012d4,2
31c69ef1,ed1e53f3,2
31c69ef1,b400bde0,2
31c69ef1,b0b4fd3e,1
31c69ef1,b66315ae,2
31c69ef1,819b3158,2
31c69ef1,86dd77d1,2
31c69ef1,892d5bb1,2
31c69ef1,5eecec3d,2
31c69ef1,51cf8561,2
31c69ef1,101da2b5,2
31c69ef1,eaeca114,1
e46012d4,ed1e53f3,4
e46012d4,b400bde0,4
e46012d4,b0b4fd3e,1
e46012d4,b66315ae,5
e46012d4,819b3158,3
e46012d4,86dd77d1,4
e46012d4,892d5bb1,3
e46012d4,5eecec3d,5
e46012d4,51cf8561,3
e46012d4,101da2b5,5
e46012d4,eaeca114,1
ed1e53f3,b400bde0,1
ed1e53f3,b0b4fd3e,1
ed1e53f3,b66315ae,1
ed1e53f3,819b3158,1
ed1e53f3,86dd77d1,1
ed1e53f3,892d5bb1,1
