# id1,id2,weight
6115fddd,4a7a00f2,2
6115fddd,5c46e908,2
6115fddd,58a3a572,1
6115fddd,1ac58ba6,3
6115fddd,8d7323e8,5
6115fddd,07f8bcc8,4
6115fddd,f893dba4,1
6115fddd,c284d6fb,3
6115fddd,756959aa,2
6115fddd,2249e65b,1
6115fddd,9c4f39b3,3
6115fddd,0f6e3474,1
6115fddd,75fdd638,2
6115fddd,32523fce,3
6115fddd,ac4961c8,3
6115fddd,2d3f7367,1
6115fddd,ef2ad14e,1
6115fddd,deee6467,1
6115fddd,16839b27,1
4a7a00f2,5c46e908,1
4a7a00f2,58a3a572,1
4a7a00f2,1ac58ba6,1
4a7a00f2,8d7323e8,1
4a7a00f2,07f8bcc8,2
4a7a00f2,f893dba4,1
4a7a00f2,c284d6fb,2
4a7a00f2,756959aa,2
4a7a00f2,2249e65b,1
4a7a00f2,9c4f39b3,2
4a7a00f2,0f6e3474,1
4a7a00f2,75fdd638,2
4a7a00f2,32523fce,2
4a7a00f2,ac4961c8,2
4a7a00f2,2d3f7367,1
4a7a00f2,ef2ad14e,1
4a7a00f2,deee6467,1
4a7a00f2,16839b27,1
5c46e908,58a3a572,1
5c46e908,1ac58ba6,1
5c46e908,8d7323e8,2
5c46e908,07f8bcc8,2
5c46e908,f893dba4,1
5c46e908,c284d6fb,2
5c46e908,756959aa,2
5c46e908,2249e65b,1
5c46e908,9c4f39b3,2
5c46e908,0f6e3474,1
5c46e908,75fdd638,2
5c46e908,32523fce,2
5c46e908,ac4961c8,2
5c46e908,2d3f7367,1
5c46e908,ef2ad14e,1
5c46e908,deee6467,1
5c46e908,16839b27,1
58a3a572,1ac58ba6,1
58a3a572,8d7323e8,1
58a3a572,07f8bcc8,1
58a3a572,f893dba4,1
58a3a572,c284d6fb,1
58a3a572,756959aa,1
58a3a572,2249e65b,1
58a3a572,9c4f39b3,1
58a3a572,0f6e3474,1
58a3a572,75fdd638,1
58a3a572,32523fce,1
58a3a572,ac4961c8,1
58a3a572,2d3f7367,1
58a3a572,ef2ad14e,1
58a3a572,deee6467,1
58a3a572,16839b27,1
1ac58ba6,8d7323e8,1
1ac58ba6,07f8bcc8,3
1ac58ba6,f893dba4,1
1ac58ba6,c284d6fb,1
1ac58ba6,756959aa,1
1ac58ba6,2249e65b,1
1ac58ba6,9c4f39b3,1
1ac58ba6,0f6e3474,1
1ac58ba6,75fdd638,1
1ac58ba6,32523fce,1
1ac58ba6,ac4961c8,1
1ac58ba6,2d3f7367,1
1ac58ba6,ef2ad14e,1
1ac58ba6,deee6467,1
1ac58ba6,16839b27,1
8d7323e8,07f8bcc8,4
8d7323e8,f893dba4,1
8d7323e8,c284d6fb,3
8d7323e8,756959aa,2
8d7323e8,2249e65b,1
8d7323e8,9c4f39b3,3
8d7323e8,0f6e3474,1
8d7323e8,75fdd638,2
8d7323e8,32523fce,3
8d7323e8,ac4961c8,3
8d7323e8,2d3f7367,1
8d7323e8,ef2ad14e,1
8d7323e8,deee6467,1
8d7323e8,16839b27,1
07f8bcc8,f893dba4,1
07f8bcc8,c284d6fb,1
07f8bcc8,756959aa,2
07f8bcc8,2249e65b,1
07f8bcc8,9c4f39b3,1
07f8bcc8,0f6e3474,1
07f8bcc8,75fdd638,2
07f8bcc8,32523fce,1
07f8bcc8,ac4961c8,2
07f8bcc8,2d3f7367,1
07f8bcc8,ef2ad14e,1
07f8bcc8,deee6467,1
07f8bcc8,16839b27,1
f893dba4,c284d6fb,1
f893dba4,756959aa,1
f893dba4,2249e65b,1
