# id1,id2,weight
8d78e732,3c6089ab,7
8d78e732,8778c910,3
8d78e732,49296448,4
8d78e732,d248cd8f,1
8d78e732,88e357ef,4
8d78e732,c3ee18ef,3
8d78e732,45a03961,2
8d78e732,2b114be3,2
8d78e732,d781d855,3
8d78e732,e33c06cf,4
8d78e732,cc86b9a3,4
8d78e732,042e8a49,7
8d78e732,2c0558b8,2
8d78e732,e280527c,1
8d78e732,652d4c37,4
8d78e732,7ed08d5c,1
8d78e732,5853ac44,1
8d78e732,f9b1b7bf,1
8d78e732,0e6bc38c,2
3c6089ab,8778c910,2
3c6089ab,49296448,4
3c6089ab,d248cd8f,1
3c6089ab,88e357ef,4
3c6089ab,c3ee18ef,3
3c6089ab,45a03961,2
3c6089ab,2b114be3,2
3c6089ab,d781d855,3
3c6089ab,e33c06cf,3
3c6089ab,cc86b9a3,4
3c6089ab,042e8a49,7
3c6089ab,2c0558b8,2
3c6089ab,e280527c,1
3c6089ab,652d4c37,4
3c6089ab,7ed08d5c,1
3c6089ab,5853ac44,1
3c6089ab,f9b1b7bf,1
3c6089ab,0e6bc38c,2
8778c910,49296448,5
8778c910,d248cd8f,1
8778c910,88e357ef,4
8778c910,c3ee18ef,3
8778c910,45a03961,3
8778c910,2b114be3,2
8778c910,d781d855,3
8778c910,e33c06cf,2
8778c910,cc86b9a3,4
8778c910,042e8a49,6
8778c910,2c0558b8,2
8778c910,e280527c,1
8778c910,652d4c37,3
8778c910,7ed08d5c,1
8778c910,5853ac44,1
8778c910,f9b1b7bf,1
8778c910,0e6bc38c,2
49296448,d248cd8f,1
49296448,88e357ef,4
49296448,c3ee18ef,3
49296448,45a03961,3
49296448,2b114be3,2
49296448,d781d855,3
49296448,e33c06cf,4
49296448,cc86b9a3,4
49296448,042e8a49,6
49296448,2c0558b8,2
49296448,e280527c,1
49296448,652d4c37,4
49296448,7ed08d5c,1
49296448,5853ac44,1
49296448,f9b1b7bf,1
49296448,0e6bc38c,2
d248cd8f,88e357ef,1
d248cd8f,c3ee18ef,1
d248cd8f,45a03961,1
d248cd8f,2b114be3,1
d248cd8f,d781d855,1
d248cd8f,e33c06cf,1
d248cd8f,cc86b9a3,1
d248cd8f,042e8a49,1
d248cd8f,2c0558b8,1
d248cd8f,e280527c,3
d248cd8f,652d4c37,1
d248cd8f,7ed08d5c,1
d248cd8f,5853ac44,1
d248cd8f,f9b1b7bf,1
d248cd8f,0e6bc38c,1
88e357ef,c3ee18ef,3
88e357ef,45a03961,1
88e357ef,2b114be3,2
88e357ef,d781d855,2
88e357ef,e33c06cf,2
88e357ef,cc86b9a3,3
88e357ef,042e8a49,3
88e357ef,2c0558b8,2
88e357ef,e280527c,1
88e357ef,652d4c37,3
88e357ef,7ed08d5c,1
88e357ef,5853ac44,1
88e357ef,f9b1b7bf,1
88e357ef,0e6bc38c,2
c3ee18ef,45a03961,1
c3ee18ef,2b114be3,1
c3ee18ef,d781d855,1
c3ee18ef,e33c06cf,2
c3ee18ef,cc86b9a3,1
c3ee18ef,042e8a49,1
c3ee18ef,2c0558b8,2
c3ee18ef,e280527c,1
c3ee18ef,652d4c37,3
c3ee18ef,7ed08d5c,1
c3ee18ef,5853ac44,1
c3ee18ef,f9b1b7bf,1
c3ee18ef,0e6bc38c,2
45a03961,2b114be3,2
