# id1,id2,weight
fcb38f57,20730eae,1
fcb38f57,0db169ae,1
fcb38f57,7edfbb8a,1
fcb38f57,d4c9725f,1
fcb38f57,05e19d6a,1
fcb38f57,407feb71,1
fcb38f57,2146785a,1
fcb38f57,16ceb862,1
fcb38f57,ee251371,1
fcb38f57,85f7d1be,1
fcb38f57,3ead85f9,1
fcb38f57,db092d3b,1
fcb38f57,817c6964,1
fcb38f57,f49c4ae9,1
fcb38f57,e288d4b3,1
fcb38f57,4cde5509,1
fcb38f57,8b8a56ce,1
fcb38f57,536cebe5,1
fcb38f57,59bf127b,1
20730eae,0db169ae,2
20730eae,7edfbb8a,2
20730eae,d4c9725f,1
20730eae,05e19d6a,1
20730eae,407feb71,2
20730eae,2146785a,1
20730eae,16ceb862,1
20730eae,ee251371,2
20730eae,85f7d1be,2
20730eae,3ead85f9,2
20730eae,db092d3b,2
20730eae,817c6964,3
20730eae,f49c4ae9,1
20730eae,e288d4b3,1
20730eae,4cde5509,2
20730eae,8b8a56ce,1
20730eae,536cebe5,2
20730eae,59bf127b,1
0db169ae,7edfbb8a,2
0db169ae,d4c9725f,1
0db169ae,05e19d6a,1
0db169ae,407feb71,2
0db169ae,2146785a,1
0db169ae,16ceb862,1
0db169ae,ee251371,1
0db169ae,85f7d1be,2
0db169ae,3ead85f9,1
0db169ae,db092d3b,2
0db169ae,817c6964,2
0db169ae,f49c4ae9,1
0db169ae,e288d4b3,1
0db169ae,4cde5509,1
0db169ae,8b8a56ce,1
0db169ae,536cebe5,1
0db169ae,59bf127b,1
7edfbb8a,d4c9725f,1
7edfbb8a,05e19d6a,1
7edfbb8a,407feb71,2
7edfbb8a,2146785a,1
7edfbb8a,16ceb862,1
7edfbb8a,ee251371,1
7edfbb8a,85f7d1be,2
7edfbb8a,3ead85f9,1
7edfbb8a,db092d3b,1
7edfbb8a,817c6964,2
7edfbb8a,f49c4ae9,1
7edfbb8a,e288d4b3,1
7edfbb8a,4cde5509,1
7edfbb8a,8b8a56ce,1
7edfbb8a,536cebe5,1
7edfbb8a,59bf127b,1
d4c9725f,05e19d6a,1
d4c9725f,407feb71,2
d4c9725f,2146785a,3
d4c9725f,16ceb862,1
d4c9725f,ee251371,3
d4c9725f,85f7d1be,2
d4c9725f,3ead85f9,2
d4c9725f,db092d3b,3
d4c9725f,817c6964,3
d4c9725f,f49c4ae9,1
d4c9725f,e288d4b3,1
d4c9725f,4cde5509,3
d4c9725f,8b8a56ce,3
d4c9725f,536cebe5,3
d4c9725f,59bf127b,1
05e19d6a,407feb71,2
05e19d6a,2146785a,5
05e19d6a,16ceb862,1
05e19d6a,ee251371,3
05e19d6a,85f7d1be,2
05e19d6a,3ead85f9,4
05e19d6a,db092d3b,3
05e19d6a,817c6964,3
05e19d6a,f49c4ae9,1
05e19d6a,e288d4b3,1
05e19d6a,4cde5509,3
05e19d6a,8b8a56ce,3
05e19d6a,536cebe5,3
05e19d6a,59bf127b,2
407feb71,2146785a,1
407feb71,16ceb862,1
407feb71,ee251371,1
407feb71,85f7d1be,2
407feb71,3ead85f9,1
407feb71,db092d3b,1
407feb71,817c6964,2
407feb71,f49c4ae9,1
407feb71,e288d4b3,1
407feb71,4cde5509,1
407feb71,8b8a56ce,1
407feb71,536cebe5,1
407feb71,59bf127b,1
2146785a,16ceb862,1
2146785a,ee251371,3
2146785a,85f7d1be,2
2146785a,3ead85f9,2
