# id1,id2,weight
2d297138,54e217e3,3
2d297138,6e6647fd,2
2d297138,518918ad,1
2d297138,6cf15f7f,3
2d297138,5114b89a,3
2d297138,9e61c019,2
2d297138,36d36690,3
2d297138,c92c82aa,3
2d297138,d1943c8b,3
2d297138,d4222f7b,1
2d297138,e24a8b47,1
2d297138,7eebc8bf,3
2d297138,09eb018f,2
2d297138,67b55bef,3
2d297138,61b3978f,2
2d297138,0cebd856,2
2d297138,aec63b70,1
2d297138,4b8c05c4,2
2d297138,8abe2de0,2
2d297138,6b9f2f3e,1
2d297138,af97a8af,1
2d297138,c8c03e98,1
2d297138,5086c324,1
2d297138,530bff30,2
2d297138,f66c773c,1
2d297138,bb718263,2
2d297138,3ecc8c5f,2
2d297138,a86634fc,2
2d297138,e71e8517,1
2d297138,60c659b6,3
2d297138,8bdfc10f,2
2d297138,f3381d8a,2
2d297138,79ca3e23,1
2d297138,d2047a08,2
54e217e3,6e6647fd,2
54e217e3,518918ad,1
54e217e3,6cf15f7f,3
54e217e3,5114b89a,2
54e217e3,9e61c019,2
54e217e3,36d36690,3
54e217e3,c92c82aa,2
54e217e3,d1943c8b,3
54e217e3,d4222f7b,1
54e217e3,e24a8b47,1
54e217e3,7eebc8bf,4
54e217e3,09eb018f,2
54e217e3,67b55bef,2
54e217e3,61b3978f,2
54e217e3,0cebd856,2
54e217e3,aec63b70,1
54e217e3,4b8c05c4,2
54e217e3,8abe2de0,3
54e217e3,6b9f2f3e,1
54e217e3,af97a8af,1
54e217e3,c8c03e98,1
54e217e3,5086c324,1
54e217e3,530bff30,2
54e217e3,f66c773c,1
54e217e3,bb718263,2
54e217e3,3ecc8c5f,2
54e217e3,a86634fc,3
54e217e3,e71e8517,1
54e217e3,60c659b6,3
54e217e3,8bdfc10f,2
54e217e3,f3381d8a,2
54e217e3,79ca3e23,1
54e217e3,d2047a08,2
6e6647fd,518918ad,1
6e6647fd,6cf15f7f,2
6e6647fd,5114b89a,1
6e6647fd,9e61c019,2
6e6647fd,36d36690,2
6e6647fd,c92c82aa,2
6e6647fd,d1943c8b,1
6e6647fd,d4222f7b,1
6e6647fd,e24a8b47,1
6e6647fd,7eebc8bf,1
6e6647fd,09eb018f,2
6e6647fd,67b55bef,1
6e6647fd,61b3978f,1
6e6647fd,0cebd856,1
6e6647fd,aec63b70,1
6e6647fd,4b8c05c4,2
6e6647fd,8abe2de0,2
6e6647fd,6b9f2f3e,1
6e6647fd,af97a8af,1
6e6647fd,c8c03e98,1
6e6647fd,5086c324,1
6e6647fd,530bff30,1
6e6647fd,f66c773c,1
6e6647fd,bb718263,2
6e6647fd,3ecc8c5f,1
6e6647fd,a86634fc,2
6e6647fd,e71e8517,1
6e6647fd,60c659b6,1
6e6647fd,8bdfc10f,1
6e6647fd,f3381d8a,2
6e6647fd,79ca3e23,1
6e6647fd,d2047a08,1
518918ad,6cf15f7f,1
518918ad,5114b89a,1
518918ad,9e61c019,1
518918ad,36d36690,1
518918ad,c92c82aa,1
518918ad,d1943c8b,1
518918ad,d4222f7b,1
518918ad,e24a8b47,1
518918ad,7eebc8bf,1
518918ad,09eb018f,1
518918ad,67b55bef,1
518918ad,61b3978f,1
518918ad,0cebd856,1
518918ad,aec63b70,1
518918ad,4b8c05c4,1
518918ad,8abe2de0,1
518918ad,6b9f2f3e,1
518918ad,af97a8af,1
518918ad,c8c03e98,1
518918ad,5086c324,1
518918ad,530bff30,1
518918ad,f66c773c,1
518918ad,bb718263,1
518918ad,3ecc8c5f,1
518918ad,a86634fc,1
518918ad,e71e8517,1
518918ad,60c659b6,1
518918ad,8bdfc10f,1
518918ad,f3381d8a,1
518918ad,79ca3e23,1
518918ad,d2047a08,1
